old_name new_name 
bldg_3981164_1588 : S3-office-core-wall-8		bldg_3981164_1588 :  S1-office-core-wall-5 
bldg_3981164_1588 : S4-office-core-roof		bldg_3981164_1588 :  S2-office-core-wall-5 
bldg_3981164_1588 : S4-office-core-wall-1		bldg_3981164_1588 :  S1-office-core-wall-0 
bldg_3981164_1588 : S4-office-core-wall-6		bldg_3981164_1588 :  S3-office-core-wall-2 
bldg_3981164_1588 : S4-office-core-wall-7		bldg_3981164_1588 :  S2-office-core-wall-5 
bldg_3981164_1588 : S4-office-core-wall-8		bldg_3981164_1588 :  S2-office-core-wall-5 
bldg_3981164_1588 : S5-office-core-wall-1		bldg_3981164_1588 :  S1-office-core-wall-0 
bldg_3981164_1588 : S5-office-core-wall-6		bldg_3981164_1588 :  S4-office-core-wall-2 
bldg_3981164_1588 : S5-office-core-wall-7		bldg_3981164_1588 :  S3-office-core-wall-2 
bldg_3981164_1588 : S5-office-core-wall-8		bldg_3981164_1588 :  S3-office-core-wall-2 
bldg_3981172_3096 : S2-office-core-wall-1		bldg_3981172_3096 :  S1-office-core-wall-2 
bldg_3981172_3096 : S3-office-core-wall-1		bldg_3981172_3096 :  S1-office-core-wall-2 
bldg_3981172_3096 : S4-office-core-wall-1		bldg_3981172_3096 :  S3-office-core-wall-2 
bldg_3981172_3096 : S5-office-core-wall-1		bldg_3981172_3096 :  S5-office-core-roof 
bldg_3981173_3237 : S1-office-core-wall-2		bldg_3981173_3237 :  S1-office-core-wall-1 
bldg_3981173_3237 : S1-office-core-wall-3		bldg_3981173_3237 :  S1-office-core-wall-0 
bldg_3981173_3237 : S2-office-core-wall-2		bldg_3981173_3237 :  S1-office-core-wall-0 
bldg_3981173_3237 : S2-office-core-wall-3		bldg_3981173_3237 :  S1-office-core-wall-0 
bldg_3981173_3237 : S3-office-core-wall-2		bldg_3981173_3237 :  S1-office-core-wall-0 
bldg_3981173_3237 : S3-office-core-wall-3		bldg_3981173_3237 :  S1-office-core-wall-0 
bldg_3981173_3237 : S4-office-core-wall-2		bldg_3981226_19444 :  S4-office-core-roof 
bldg_3981173_3237 : S4-office-core-wall-3		bldg_3981173_3237 :  S1-office-core-wall-0 
bldg_3981173_3237 : S5-office-core-wall-2		bldg_3981226_19444 :  S4-office-core-roof 
bldg_3981173_3237 : S5-office-core-wall-3		bldg_3981173_3237 :  S1-office-core-wall-0 
bldg_3981176_3608 : S1-office-core-wall-2		bldg_3981176_3608 :  S1-office-core-wall-1 
bldg_3981176_3608 : S2-office-core-wall-2		bldg_3981176_3608 :  S1-office-core-wall-1 
bldg_3981176_3608 : S3-office-core-wall-2		bldg_3981176_3608 :  S1-office-core-wall-1 
bldg_3981176_3608 : S4-office-core-wall-2		bldg_3981176_3608 :  S4-office-core-wall-0 
bldg_3981176_3608 : S5-office-core-wall-2		bldg_3981176_3608 :  S5-office-core-roof 
bldg_3981178_3076 : S10-office-core-wall-12		bldg_3981178_3076 :  S10-office-core-wall-11 
bldg_3981178_3076 : S10-office-core-wall-13		bldg_3981178_3076 :  S10-office-core-wall-11 
bldg_3981178_3076 : S10-office-core-wall-2		bldg_3981178_3076 :  S10-office-core-wall-1 
bldg_3981178_3076 : S10-office-core-wall-4		bldg_3981178_3076 :  S10-office-core-wall-3 
bldg_3981178_3076 : S10-office-core-wall-5		bldg_3981178_3076 :  S10-office-core-wall-3 
bldg_3981178_3076 : S10-office-core-wall-6		bldg_3981178_3076 :  S10-office-core-wall-3 
bldg_3981178_3076 : S10-office-core-wall-9		bldg_3981178_3076 :  S10-office-core-wall-8 
bldg_3981178_3076 : S11-office-core-wall-12		bldg_3981178_3076 :  S10-office-core-wall-11 
bldg_3981178_3076 : S11-office-core-wall-13		bldg_3981178_3076 :  S10-office-core-wall-11 
bldg_3981178_3076 : S11-office-core-wall-2		bldg_3981178_3076 :  S10-office-core-wall-1 
bldg_3981178_3076 : S11-office-core-wall-4		bldg_3981178_3076 :  S10-office-core-wall-3 
bldg_3981178_3076 : S11-office-core-wall-5		bldg_3981178_3076 :  S10-office-core-wall-7 
bldg_3981178_3076 : S11-office-core-wall-6		bldg_3981178_3076 :  S10-office-core-wall-3 
bldg_3981178_3076 : S11-office-core-wall-9		bldg_3981178_3076 :  S10-office-core-wall-11 
bldg_3981178_3076 : S2-office-core-wall-12		bldg_3981178_3076 :  S2-office-core-wall-11 
bldg_3981178_3076 : S2-office-core-wall-13		bldg_3981178_3076 :  S2-office-core-wall-11 
bldg_3981178_3076 : S2-office-core-wall-2		bldg_3981178_3076 :  S2-office-core-wall-1 
bldg_3981178_3076 : S2-office-core-wall-4		bldg_3981178_3076 :  S2-office-core-wall-3 
bldg_3981178_3076 : S2-office-core-wall-5		bldg_3981178_3076 :  S2-office-core-wall-3 
bldg_3981178_3076 : S2-office-core-wall-6		bldg_3981178_3076 :  S2-office-core-wall-3 
bldg_3981178_3076 : S2-office-core-wall-9		bldg_3981178_3076 :  S2-office-core-wall-8 
bldg_3981178_3076 : S3-office-core-wall-12		bldg_3981178_3076 :  S2-office-core-wall-11 
bldg_3981178_3076 : S3-office-core-wall-13		bldg_3981178_3076 :  S2-office-core-wall-11 
bldg_3981178_3076 : S3-office-core-wall-2		bldg_3981178_3076 :  S2-office-core-wall-1 
bldg_3981178_3076 : S3-office-core-wall-4		bldg_3981178_3076 :  S2-office-core-wall-3 
bldg_3981178_3076 : S3-office-core-wall-5		bldg_3981178_3076 :  S2-office-core-wall-3 
bldg_3981178_3076 : S3-office-core-wall-6		bldg_3981178_3076 :  S2-office-core-wall-3 
bldg_3981178_3076 : S3-office-core-wall-9		bldg_3981178_3076 :  S2-office-core-wall-8 
bldg_3981178_3076 : S4-office-core-wall-12		bldg_3981178_3076 :  S3-office-core-wall-11 
bldg_3981178_3076 : S4-office-core-wall-13		bldg_3981178_3076 :  S2-office-core-wall-11 
bldg_3981178_3076 : S4-office-core-wall-2		bldg_3981178_3076 :  S3-office-core-wall-1 
bldg_3981178_3076 : S4-office-core-wall-4		bldg_3981178_3076 :  S2-office-core-wall-3 
bldg_3981178_3076 : S4-office-core-wall-5		bldg_3981178_3076 :  S2-office-core-wall-3 
bldg_3981178_3076 : S4-office-core-wall-6		bldg_3981178_3076 :  S2-office-core-wall-3 
bldg_3981178_3076 : S4-office-core-wall-9		bldg_3981178_3076 :  S2-office-core-wall-8 
bldg_3981178_3076 : S5-office-core-wall-12		bldg_3981178_3076 :  S4-office-core-wall-11 
bldg_3981178_3076 : S5-office-core-wall-13		bldg_3981178_3076 :  S2-office-core-wall-11 
bldg_3981178_3076 : S5-office-core-wall-2		bldg_3981178_3076 :  S4-office-core-wall-1 
bldg_3981178_3076 : S5-office-core-wall-4		bldg_3981178_3076 :  S2-office-core-wall-3 
bldg_3981178_3076 : S5-office-core-wall-5		bldg_3981178_3076 :  S2-office-core-wall-3 
bldg_3981178_3076 : S5-office-core-wall-6		bldg_3981178_3076 :  S2-office-core-wall-3 
bldg_3981178_3076 : S5-office-core-wall-9		bldg_3981178_3076 :  S3-office-core-wall-8 
bldg_3981178_3076 : S6-office-core-wall-12		bldg_3981178_3076 :  S5-office-core-wall-11 
bldg_3981178_3076 : S6-office-core-wall-13		bldg_3981178_3076 :  S2-office-core-wall-11 
bldg_3981178_3076 : S6-office-core-wall-2		bldg_3981178_3076 :  S5-office-core-wall-1 
bldg_3981178_3076 : S6-office-core-wall-4		bldg_3981178_3076 :  S2-office-core-wall-3 
bldg_3981178_3076 : S6-office-core-wall-5		bldg_3981178_3076 :  S2-office-core-wall-3 
bldg_3981178_3076 : S6-office-core-wall-6		bldg_3981178_3076 :  S2-office-core-wall-3 
bldg_3981178_3076 : S6-office-core-wall-9		bldg_3981178_3076 :  S4-office-core-wall-8 
bldg_3981178_3076 : S7-office-core-wall-12		bldg_3981178_3076 :  S6-office-core-wall-11 
bldg_3981178_3076 : S7-office-core-wall-13		bldg_3981178_3076 :  S3-office-core-wall-11 
bldg_3981178_3076 : S7-office-core-wall-2		bldg_3981178_3076 :  S6-office-core-wall-1 
bldg_3981178_3076 : S7-office-core-wall-4		bldg_3981178_3076 :  S2-office-core-wall-3 
bldg_3981178_3076 : S7-office-core-wall-5		bldg_3981178_3076 :  S2-office-core-wall-3 
